Mortalidade   
Número de Óbitos por Mês do Óbito e UF Residência
Período:2025
"Mês do Óbito";"Rondônia";"Acre";"Amazonas";"Roraima";"Pará";"Amapá";"Tocantins";"Maranhão";"Piauí";"Ceará";"Rio Grande do Norte";"Paraíba";"Pernambuco";"Alagoas";"Sergipe";"Bahia";"Minas Gerais";"Espírito Santo";"Rio de Janeiro";"São Paulo";"Paraná";"Santa Catarina";"Rio Grande do Sul";"Mato Grosso do Sul";"Mato Grosso";"Goiás";"Distrito Federal";"Ignorado/Exterior";"Total"
"Janeiro";1;1;3;5;10;4;2;2;2;6;3;4;6;3;4;19;91;4;16;27570;26;7;4;11;11;18;2;0;27835
"Fevereiro";2;1;4;1;8;1;2;1;4;2;3;1;3;0;3;14;77;2;10;25394;21;4;3;27;9;19;2;0;25618
"Marco";2;0;3;1;7;4;4;7;4;0;0;8;4;8;1;19;88;3;9;28283;26;5;4;20;10;11;2;1;28534
"Abril";2;0;6;2;5;0;2;3;2;3;1;2;3;3;1;14;86;1;15;28336;22;7;2;28;11;23;4;0;28584
"Maio";4;0;3;1;7;2;2;4;3;3;0;3;9;0;2;17;99;3;16;33433;17;5;3;18;9;24;5;0;33692
"Junho";1;1;4;1;12;2;3;4;0;3;3;2;4;2;1;16;82;6;12;33486;28;6;5;7;12;15;1;0;33719
"Julho";1;0;0;0;7;0;3;2;3;4;0;3;3;3;2;19;99;2;10;32891;26;7;5;17;13;26;5;0;33151
"Agosto";5;0;1;4;7;0;6;2;3;2;1;2;8;1;0;9;89;3;15;31803;24;2;1;19;13;16;1;1;32038
"Setembro";2;0;3;2;3;0;5;6;3;3;1;3;3;2;2;21;68;1;11;27782;13;3;5;9;7;12;2;2;27974
"Outubro";1;0;2;2;7;1;2;8;8;3;0;1;6;3;2;10;66;2;7;27342;25;9;5;26;7;18;3;0;27566
"Novembro";3;1;1;0;5;0;0;3;2;1;0;1;2;3;2;12;66;0;6;20297;16;2;0;20;10;21;3;1;20478
"Dezembro";1;0;0;1;0;1;0;1;0;0;0;1;0;0;0;2;21;0;5;4519;4;0;0;5;5;4;1;0;4571
"Total";25;4;30;20;78;15;31;43;34;30;12;31;51;28;20;172;932;27;132;321136;248;57;37;207;117;207;31;5;323760
 Fonte: 
 SESSP-CCD/FSEADE - Base Unificada de Óbitos
 A partir de 2011 - SESSP/CCD - Sistemas de Informações sobre Mortalidade - SIM
 Dados de 2011, 2012 atualizados em 05/2014.
 Dados de 2013 atualizados em 02/2015.
 Dados de 2014 atualizados em 08/2018.
 Dados de 2017 atualizados em 09/2019.
 Dados de 2018 e 2019 atualizados em 10/2023.
 Dados de 2020 a 2022 atualizados em 09/2024.
 Dados de 2023 atualizados em 07/2025.
 Dados de 2024 e 2025 atualizados em 12/2025.
 Dados de 2023 a 2025 - dados preliminares.
 NOTA: as bases de 2000 a 2011 são unificadas SESSP/Fundação SEADE e, a partir de 2011 os dados são da Base Municipal/SIM/CCD/SESSP.
